delivery_id,address,latitude,longitude,city
DEL_0001,"9820 Main St, Los Angeles",40.872499,-74.170651,Los Angeles
DEL_0002,"126 5th Ave, Los Angeles",40.700813,-73.947695,Los Angeles
DEL_0003,"4939 5th Ave, Los Angeles",40.921849,-74.062883,Los Angeles
DEL_0004,"2249 Lexington Ave, Los Angeles",40.583462,-74.121137,Los Angeles
DEL_0005,"4743 Madison Ave, Los Angeles",40.90254,-73.522666,Los Angeles
DEL_0006,"1966 Main St, Los Angeles",40.476087,-74.266362,Los Angeles
DEL_0007,"8150 Washington St, Los Angeles",40.682386,-73.979625,Los Angeles
DEL_0008,"2879 Broadway, Los Angeles",40.854596,-74.21783,Los Angeles
DEL_0009,"6230 Oak St, Los Angeles",40.521249,-73.973176,Los Angeles
DEL_0010,"3771 Oak St, Los Angeles",40.666241,-73.785711,Los Angeles
DEL_0011,"9155 Madison Ave, Los Angeles",40.800613,-73.873982,Los Angeles
DEL_0012,"1181 Washington St, Los Angeles",40.693975,-73.446059,Los Angeles
DEL_0013,"694 Washington St, Los Angeles",40.561854,-73.860805,Los Angeles
DEL_0014,"308 Market St, Los Angeles",40.484027,-74.261172,Los Angeles
DEL_0015,"1276 Madison Ave, Los Angeles",40.603368,-73.618696,Los Angeles
DEL_0016,"9434 Washington St, Los Angeles",40.760349,-74.146362,Los Angeles
DEL_0017,"9395 Washington St, Los Angeles",40.780266,-73.997645,Los Angeles
DEL_0018,"6844 Lexington Ave, Los Angeles",40.624156,-74.33799,Los Angeles
DEL_0019,"1888 Washington St, Los Angeles",40.971997,-73.956124,Los Angeles
DEL_0020,"342 Madison Ave, Los Angeles",41.104465,-73.782478,Los Angeles
DEL_0021,"2816 Elm St, Los Angeles",40.812137,-74.109452,Los Angeles
DEL_0022,"7539 Madison Ave, Los Angeles",40.51544,-74.057756,Los Angeles
DEL_0023,"1444 Washington St, Los Angeles",40.510225,-73.851444,Los Angeles
DEL_0024,"1735 5th Ave, Los Angeles",41.006972,-74.068021,Los Angeles
DEL_0025,"7139 Elm St, Los Angeles",40.882979,-74.169835,Los Angeles
DEL_0026,"6561 Oak St, Los Angeles",40.658301,-74.199724,Los Angeles
DEL_0027,"1289 Washington St, Los Angeles",40.328452,-74.014684,Los Angeles
DEL_0028,"5084 Madison Ave, Los Angeles",40.735944,-73.752636,Los Angeles
DEL_0029,"3631 Madison Ave, Los Angeles",40.856122,-73.813705,Los Angeles
DEL_0030,"2755 Park Ave, Los Angeles",40.537298,-73.896774,Los Angeles
DEL_0031,"8364 Park Ave, Los Angeles",40.997952,-73.915702,Los Angeles
DEL_0032,"8694 Oak St, Los Angeles",41.042276,-73.526075,Los Angeles
DEL_0033,"3177 Madison Ave, Los Angeles",40.664427,-74.171668,Los Angeles
DEL_0034,"5753 Broadway, Los Angeles",40.5756,-74.366398,Los Angeles
DEL_0035,"3872 Park Ave, Los Angeles",40.619394,-73.718928,Los Angeles
DEL_0036,"2400 Lexington Ave, Los Angeles",40.315676,-74.252611,Los Angeles
DEL_0037,"3233 Broadway, Los Angeles",40.689893,-74.214514,Los Angeles
DEL_0038,"9870 Broadway, Los Angeles",40.617794,-74.127785,Los Angeles
DEL_0039,"1235 Broadway, Los Angeles",40.666396,-74.179397,Los Angeles
DEL_0040,"8096 Market St, Los Angeles",40.566635,-73.783907,Los Angeles
DEL_0041,"9237 Elm St, Los Angeles",40.901927,-74.334167,Los Angeles
DEL_0042,"7355 Elm St, Los Angeles",40.215575,-73.753227,Los Angeles
DEL_0043,"5296 Madison Ave, Los Angeles",40.491395,-73.955429,Los Angeles
DEL_0044,"2474 Market St, Los Angeles",40.430697,-73.697513,Los Angeles
DEL_0045,"1119 Market St, Los Angeles",41.171119,-73.962545,Los Angeles
DEL_0046,"7246 Lexington Ave, Los Angeles",40.695845,-74.082575,Los Angeles
DEL_0047,"4501 Elm St, Los Angeles",40.853665,-73.871056,Los Angeles
DEL_0048,"921 Madison Ave, Los Angeles",40.893611,-74.155261,Los Angeles
DEL_0049,"8313 Park Ave, Los Angeles",40.774082,-74.134949,Los Angeles
DEL_0050,"5086 Market St, Los Angeles",40.522221,-74.01575,Los Angeles
DEL_0051,"7405 Main St, Los Angeles",40.546581,-73.726995,Los Angeles
DEL_0052,"933 Madison Ave, Los Angeles",40.557499,-73.919582,Los Angeles
DEL_0053,"4704 Park Ave, Los Angeles",40.604075,-73.94014,Los Angeles
DEL_0054,"1480 Elm St, Los Angeles",40.618386,-74.30485,Los Angeles
DEL_0055,"9734 Oak St, Los Angeles",40.799966,-74.06196,Los Angeles
DEL_0056,"6300 Market St, Los Angeles",40.764329,-74.10794,Los Angeles
DEL_0057,"9509 Oak St, Los Angeles",40.473532,-73.748519,Los Angeles
DEL_0058,"673 Market St, Los Angeles",40.845549,-74.140771,Los Angeles
DEL_0059,"9367 5th Ave, Los Angeles",40.725373,-73.758303,Los Angeles
DEL_0060,"5268 Elm St, Los Angeles",40.630451,-74.07776,Los Angeles
DEL_0061,"7793 Oak St, Los Angeles",40.756698,-74.11513,Los Angeles
DEL_0062,"2472 Main St, Los Angeles",40.867231,-74.046149,Los Angeles
DEL_0063,"7382 Park Ave, Los Angeles",40.571532,-73.861322,Los Angeles
DEL_0064,"5627 Park Ave, Los Angeles",40.507011,-73.527047,Los Angeles
DEL_0065,"8267 Broadway, Los Angeles",40.997934,-73.883938,Los Angeles
DEL_0066,"642 5th Ave, Los Angeles",40.790157,-73.915091,Los Angeles
DEL_0067,"7173 Market St, Los Angeles",40.624675,-73.935327,Los Angeles
DEL_0068,"8587 Oak St, Los Angeles",40.54647,-73.886238,Los Angeles
DEL_0069,"9992 Broadway, Los Angeles",40.869169,-74.095874,Los Angeles
DEL_0070,"5963 Madison Ave, Los Angeles",40.605574,-74.294216,Los Angeles
