delivery_id,address,latitude,longitude,city
DEL_0001,"1561 Washington St, New York",40.63271,-74.125654,New York
DEL_0002,"4073 Market St, New York",40.557016,-74.361219,New York
DEL_0003,"5665 Washington St, New York",40.877321,-73.94523,New York
DEL_0004,"2436 Oak St, New York",40.856197,-74.132379,New York
DEL_0005,"895 Main St, New York",40.700058,-73.626941,New York
DEL_0006,"2572 Oak St, New York",40.71231,-73.813942,New York
DEL_0007,"7689 Market St, New York",40.601547,-73.835797,New York
DEL_0008,"2710 Park Ave, New York",40.613896,-74.456795,New York
DEL_0009,"8056 Madison Ave, New York",40.711434,-74.117795,New York
DEL_0010,"3947 Madison Ave, New York",40.420047,-73.960481,New York
DEL_0011,"4558 Main St, New York",40.551804,-73.270854,New York
DEL_0012,"8306 5th Ave, New York",40.448937,-74.294322,New York
DEL_0013,"9020 Washington St, New York",40.869476,-74.03762,New York
DEL_0014,"6608 5th Ave, New York",40.865809,-73.915578,New York
DEL_0015,"1292 Market St, New York",40.60788,-74.333822,New York
DEL_0016,"7278 Elm St, New York",40.905788,-74.312275,New York
DEL_0017,"7342 Park Ave, New York",40.813504,-73.787546,New York
DEL_0018,"8167 Market St, New York",40.689932,-74.078298,New York
DEL_0019,"5179 Park Ave, New York",40.535552,-73.896002,New York
DEL_0020,"8149 Main St, New York",40.163984,-73.835866,New York
DEL_0021,"1682 Washington St, New York",40.734327,-74.058965,New York
DEL_0022,"6756 Main St, New York",40.756458,-74.332506,New York
DEL_0023,"9129 Oak St, New York",40.278027,-73.894616,New York
DEL_0024,"3 Park Ave, New York",40.950016,-74.41947,New York
DEL_0025,"9900 Elm St, New York",40.523164,-73.827166,New York
DEL_0026,"4991 Oak St, New York",40.777465,-73.301645,New York
DEL_0027,"9214 5th Ave, New York",40.906612,-73.807413,New York
DEL_0028,"7475 Madison Ave, New York",40.57518,-73.881249,New York
DEL_0029,"5954 Main St, New York",40.982244,-74.045077,New York
DEL_0030,"3653 Market St, New York",40.69168,-73.972399,New York
DEL_0031,"5440 Oak St, New York",40.593071,-73.942065,New York
DEL_0032,"9830 Market St, New York",40.756759,-73.654195,New York
DEL_0033,"5953 Market St, New York",40.678675,-73.845611,New York
DEL_0034,"1869 Park Ave, New York",40.684049,-73.853924,New York
DEL_0035,"3634 Main St, New York",40.667744,-73.869681,New York
DEL_0036,"5593 Madison Ave, New York",40.844014,-74.259553,New York
DEL_0037,"4784 Oak St, New York",40.911426,-74.045573,New York
DEL_0038,"8553 Madison Ave, New York",40.628152,-74.174775,New York
DEL_0039,"1742 Main St, New York",40.76653,-74.007099,New York
DEL_0040,"2690 Market St, New York",40.779612,-73.913241,New York
DEL_0041,"2302 Washington St, New York",40.822455,-73.346054,New York
DEL_0042,"1753 Lexington Ave, New York",40.719952,-74.180614,New York
DEL_0043,"3210 5th Ave, New York",40.34887,-74.290137,New York
DEL_0044,"1979 Washington St, New York",40.935385,-73.834868,New York
DEL_0045,"3533 Market St, New York",40.469559,-73.420236,New York
DEL_0046,"3123 Madison Ave, New York",40.771676,-73.896579,New York
DEL_0047,"1766 Washington St, New York",41.117165,-73.592517,New York
DEL_0048,"762 Elm St, New York",40.853545,-73.808889,New York
DEL_0049,"2019 Market St, New York",40.879068,-74.06328,New York
DEL_0050,"7494 Elm St, New York",40.764474,-73.869479,New York
DEL_0051,"8261 Broadway, New York",40.689956,-74.235488,New York
DEL_0052,"8173 Main St, New York",40.664849,-74.24084,New York
DEL_0053,"8690 Main St, New York",40.724399,-74.429229,New York
DEL_0054,"9065 Washington St, New York",40.774248,-74.393767,New York
DEL_0055,"9587 Market St, New York",40.640102,-73.886171,New York
DEL_0056,"8329 Broadway, New York",40.855349,-73.846175,New York
DEL_0057,"9480 Broadway, New York",40.77041,-74.272061,New York
DEL_0058,"2104 Park Ave, New York",40.889486,-74.266624,New York
DEL_0059,"6348 Elm St, New York",40.910021,-73.856789,New York
DEL_0060,"9932 Madison Ave, New York",40.957647,-74.000089,New York
DEL_0061,"8260 Washington St, New York",40.565275,-74.313274,New York
DEL_0062,"6860 Elm St, New York",40.499903,-74.395075,New York
DEL_0063,"4068 Lexington Ave, New York",40.88253,-73.752266,New York
DEL_0064,"6519 Madison Ave, New York",40.812566,-74.013854,New York
DEL_0065,"4820 Market St, New York",41.084144,-74.029331,New York
DEL_0066,"2186 Broadway, New York",40.752605,-74.017375,New York
DEL_0067,"6763 Elm St, New York",40.651844,-73.856012,New York
DEL_0068,"8394 Lexington Ave, New York",40.598656,-74.172533,New York
DEL_0069,"8976 Madison Ave, New York",40.835587,-74.124286,New York
DEL_0070,"9070 5th Ave, New York",40.736851,-74.087137,New York
DEL_0071,"3292 5th Ave, New York",40.710719,-74.166046,New York
DEL_0072,"4761 Madison Ave, New York",40.597379,-74.200857,New York
DEL_0073,"2174 Broadway, New York",40.864751,-73.965142,New York
DEL_0074,"8256 Oak St, New York",40.878305,-73.762257,New York
DEL_0075,"5282 Park Ave, New York",40.629933,-73.79644,New York
DEL_0076,"5772 Oak St, New York",40.710256,-74.043718,New York
DEL_0077,"7871 Elm St, New York",40.938452,-73.874365,New York
DEL_0078,"9350 Washington St, New York",40.6493,-73.88981,New York
DEL_0079,"8748 Lexington Ave, New York",40.484744,-73.947212,New York
DEL_0080,"6921 Main St, New York",40.442603,-74.24,New York
DEL_0081,"8565 Park Ave, New York",40.81814,-74.64074,New York
DEL_0082,"415 Washington St, New York",41.037577,-73.807634,New York
